year,province_code,province_name_ko,province_name_en,sex,age_group,population,population_type,reference_date
2000,29,광주광역시,Gwangju,female,50-54,33222,registered,2000-12-31
2000,29,광주광역시,Gwangju,female,55-59,26890,registered,2000-12-31
2000,29,광주광역시,Gwangju,female,60-64,22356,registered,2000-12-31
2000,29,광주광역시,Gwangju,female,65-69,17218,registered,2000-12-31
2000,29,광주광역시,Gwangju,female,70-74,13399,registered,2000-12-31
2000,29,광주광역시,Gwangju,female,75-79,9290,registered,2000-12-31
2000,29,광주광역시,Gwangju,female,80-84,5612,registered,2000-12-31
2000,29,광주광역시,Gwangju,female,85+,4126,registered,2000-12-31
2000,30,대전광역시,Daejeon,male,0-4,51843,registered,2000-12-31
2000,30,대전광역시,Daejeon,male,5-9,59796,registered,2000-12-31
2000,30,대전광역시,Daejeon,male,10-14,53577,registered,2000-12-31
2000,30,대전광역시,Daejeon,male,15-19,60406,registered,2000-12-31
2000,30,대전광역시,Daejeon,male,20-24,59927,registered,2000-12-31
2000,30,대전광역시,Daejeon,male,25-29,66278,registered,2000-12-31
2000,30,대전광역시,Daejeon,male,30-34,65956,registered,2000-12-31
2000,30,대전광역시,Daejeon,male,35-39,65473,registered,2000-12-31
2000,30,대전광역시,Daejeon,male,40-44,62936,registered,2000-12-31
2000,30,대전광역시,Daejeon,male,45-49,44586,registered,2000-12-31
2000,30,대전광역시,Daejeon,male,50-54,32674,registered,2000-12-31
2000,30,대전광역시,Daejeon,male,55-59,25105,registered,2000-12-31
2000,30,대전광역시,Daejeon,male,60-64,19116,registered,2000-12-31
2000,30,대전광역시,Daejeon,male,65-69,12567,registered,2000-12-31
2000,30,대전광역시,Daejeon,male,70-74,7546,registered,2000-12-31
2000,30,대전광역시,Daejeon,male,75-79,4743,registered,2000-12-31
2000,30,대전광역시,Daejeon,male,80-84,2317,registered,2000-12-31
2000,30,대전광역시,Daejeon,male,85+,1035,registered,2000-12-31
2000,30,대전광역시,Daejeon,female,0-4,47512,registered,2000-12-31
2000,30,대전광역시,Daejeon,female,5-9,52452,registered,2000-12-31
2000,30,대전광역시,Daejeon,female,10-14,46827,registered,2000-12-31
2000,30,대전광역시,Daejeon,female,15-19,55765,registered,2000-12-31
2000,30,대전광역시,Daejeon,female,20-24,60212,registered,2000-12-31
2000,30,대전광역시,Daejeon,female,25-29,65207,registered,2000-12-31
2000,30,대전광역시,Daejeon,female,30-34,66313,registered,2000-12-31
2000,30,대전광역시,Daejeon,female,35-39,64665,registered,2000-12-31
2000,30,대전광역시,Daejeon,female,40-44,62066,registered,2000-12-31
2000,30,대전광역시,Daejeon,female,45-49,42869,registered,2000-12-31
2000,30,대전광역시,Daejeon,female,50-54,30840,registered,2000-12-31
2000,30,대전광역시,Daejeon,female,55-59,25640,registered,2000-12-31
2000,30,대전광역시,Daejeon,female,60-64,21796,registered,2000-12-31
2000,30,대전광역시,Daejeon,female,65-69,17357,registered,2000-12-31
2000,30,대전광역시,Daejeon,female,70-74,12857,registered,2000-12-31
2000,30,대전광역시,Daejeon,female,75-79,8909,registered,2000-12-31
2000,30,대전광역시,Daejeon,female,80-84,5062,registered,2000-12-31
2000,30,대전광역시,Daejeon,female,85+,3376,registered,2000-12-31
2000,31,울산광역시,Ulsan,male,0-4,44370,registered,2000-12-31
2000,31,울산광역시,Ulsan,male,5-9,52162,registered,2000-12-31
2000,31,울산광역시,Ulsan,male,10-14,43107,registered,2000-12-31
2000,31,울산광역시,Ulsan,male,15-19,44021,registered,2000-12-31
2000,31,울산광역시,Ulsan,male,20-24,40395,registered,2000-12-31
2000,31,울산광역시,Ulsan,male,25-29,43443,registered,2000-12-31
2000,31,울산광역시,Ulsan,male,30-34,54913,registered,2000-12-31
2000,31,울산광역시,Ulsan,male,35-39,58045,registered,2000-12-31
