Country,year,province_name_en,sex,age_group,population,age_start,age_group_order,broad_age_group
Thailand,1997,Chai Nat,male,70-74,3122,70,14,older_adult_65_plus
Thailand,1997,Chai Nat,male,75-79,1876,75,15,older_adult_65_plus
Thailand,1997,Chai Nat,male,80-84,1138,80,16,older_adult_65_plus
Thailand,1997,Chai Nat,male,85+,713,85,17,older_adult_65_plus
Thailand,1997,Chai Nat,female,0-4,10490,0,0,child_0_14
Thailand,1997,Chai Nat,female,5-9,11570,5,1,child_0_14
Thailand,1997,Chai Nat,female,10-14,11251,10,2,child_0_14
Thailand,1997,Chai Nat,female,15-19,13021,15,3,working_age_15_64
Thailand,1997,Chai Nat,female,20-24,15007,20,4,working_age_15_64
Thailand,1997,Chai Nat,female,25-29,15835,25,5,working_age_15_64
Thailand,1997,Chai Nat,female,30-34,17144,30,6,working_age_15_64
Thailand,1997,Chai Nat,female,35-39,15679,35,7,working_age_15_64
Thailand,1997,Chai Nat,female,40-44,13827,40,8,working_age_15_64
Thailand,1997,Chai Nat,female,45-49,11105,45,9,working_age_15_64
Thailand,1997,Chai Nat,female,50-54,8142,50,10,working_age_15_64
Thailand,1997,Chai Nat,female,55-59,8251,55,11,working_age_15_64
Thailand,1997,Chai Nat,female,60-64,7484,60,12,working_age_15_64
Thailand,1997,Chai Nat,female,65-69,5785,65,13,older_adult_65_plus
Thailand,1997,Chai Nat,female,70-74,4259,70,14,older_adult_65_plus
Thailand,1997,Chai Nat,female,75-79,2687,75,15,older_adult_65_plus
Thailand,1997,Chai Nat,female,80-84,1919,80,16,older_adult_65_plus
Thailand,1997,Chai Nat,female,85+,1387,85,17,older_adult_65_plus
Thailand,1997,Saraburi,male,0-4,21883,0,0,child_0_14
Thailand,1997,Saraburi,male,5-9,21125,5,1,child_0_14
Thailand,1997,Saraburi,male,10-14,20998,10,2,child_0_14
Thailand,1997,Saraburi,male,15-19,22545,15,3,working_age_15_64
Thailand,1997,Saraburi,male,20-24,28859,20,4,working_age_15_64
Thailand,1997,Saraburi,male,25-29,27346,25,5,working_age_15_64
Thailand,1997,Saraburi,male,30-34,27088,30,6,working_age_15_64
Thailand,1997,Saraburi,male,35-39,23978,35,7,working_age_15_64
Thailand,1997,Saraburi,male,40-44,18362,40,8,working_age_15_64
Thailand,1997,Saraburi,male,45-49,13811,45,9,working_age_15_64
Thailand,1997,Saraburi,male,50-54,9967,50,10,working_age_15_64
Thailand,1997,Saraburi,male,55-59,9532,55,11,working_age_15_64
Thailand,1997,Saraburi,male,60-64,8231,60,12,working_age_15_64
Thailand,1997,Saraburi,male,65-69,6163,65,13,older_adult_65_plus
Thailand,1997,Saraburi,male,70-74,4003,70,14,older_adult_65_plus
Thailand,1997,Saraburi,male,75-79,2267,75,15,older_adult_65_plus
Thailand,1997,Saraburi,male,80-84,1441,80,16,older_adult_65_plus
Thailand,1997,Saraburi,male,85+,1218,85,17,older_adult_65_plus
Thailand,1997,Saraburi,female,0-4,20874,0,0,child_0_14
