Country,year,province_name_en,sex,age_group,population,age_start,age_group_order,broad_age_group
Thailand,2000,Saraburi,female,15-19,20870,15,3,working_age_15_64
Thailand,2000,Saraburi,female,20-24,23340,20,4,working_age_15_64
Thailand,2000,Saraburi,female,25-29,24978,25,5,working_age_15_64
Thailand,2000,Saraburi,female,30-34,26939,30,6,working_age_15_64
Thailand,2000,Saraburi,female,35-39,26459,35,7,working_age_15_64
Thailand,2000,Saraburi,female,40-44,22429,40,8,working_age_15_64
Thailand,2000,Saraburi,female,45-49,17625,45,9,working_age_15_64
Thailand,2000,Saraburi,female,50-54,12741,50,10,working_age_15_64
Thailand,2000,Saraburi,female,55-59,10243,55,11,working_age_15_64
Thailand,2000,Saraburi,female,60-64,9669,60,12,working_age_15_64
Thailand,2000,Saraburi,female,65-69,7814,65,13,older_adult_65_plus
Thailand,2000,Saraburi,female,70-74,6061,70,14,older_adult_65_plus
Thailand,2000,Saraburi,female,75-79,3737,75,15,older_adult_65_plus
Thailand,2000,Saraburi,female,80-84,2143,80,16,older_adult_65_plus
Thailand,2000,Saraburi,female,85+,1864,85,17,older_adult_65_plus
Thailand,2000,Chon Buri,male,0-4,38645,0,0,child_0_14
Thailand,2000,Chon Buri,male,5-9,40766,5,1,child_0_14
Thailand,2000,Chon Buri,male,10-14,37817,10,2,child_0_14
Thailand,2000,Chon Buri,male,15-19,40834,15,3,working_age_15_64
Thailand,2000,Chon Buri,male,20-24,50229,20,4,working_age_15_64
Thailand,2000,Chon Buri,male,25-29,48872,25,5,working_age_15_64
Thailand,2000,Chon Buri,male,30-34,50925,30,6,working_age_15_64
Thailand,2000,Chon Buri,male,35-39,46939,35,7,working_age_15_64
Thailand,2000,Chon Buri,male,40-44,38204,40,8,working_age_15_64
Thailand,2000,Chon Buri,male,45-49,28752,45,9,working_age_15_64
Thailand,2000,Chon Buri,male,50-54,20643,50,10,working_age_15_64
