year,province_name_en,sex,age_group,population
2000,Jeju,female,40-44,20402
2000,Jeju,female,45-49,14931
2000,Jeju,female,50-54,13146
2000,Jeju,female,55-59,12120
2000,Jeju,female,60-64,11812
2000,Jeju,female,65-69,10575
2000,Jeju,female,70-74,7119
2000,Jeju,female,75-79,5646
2000,Jeju,female,80-84,3536
2000,Jeju,female,85+,3345
2000,Gangwon State,male,0-4,51196
2000,Gangwon State,male,5-9,55824
2000,Gangwon State,male,10-14,51196
2000,Gangwon State,male,15-19,63915
2000,Gangwon State,male,20-24,68923
2000,Gangwon State,male,25-29,68535
2000,Gangwon State,male,30-34,68098
2000,Gangwon State,male,35-39,67435
2000,Gangwon State,male,40-44,69648
2000,Gangwon State,male,45-49,49456
2000,Gangwon State,male,50-54,36233
2000,Gangwon State,male,55-59,38511
2000,Gangwon State,male,60-64,37290
2000,Gangwon State,male,65-69,22391
2000,Gangwon State,male,70-74,13990
2000,Gangwon State,male,75-79,10363
2000,Gangwon State,male,80-84,5483
2000,Gangwon State,male,85+,2646
2000,Gangwon State,female,0-4,47244
2000,Gangwon State,female,5-9,50398
2000,Gangwon State,female,10-14,48016
2000,Gangwon State,female,15-19,60442
2000,Gangwon State,female,20-24,60828
2000,Gangwon State,female,25-29,59509
2000,Gangwon State,female,30-34,61625
2000,Gangwon State,female,35-39,63531
2000,Gangwon State,female,40-44,65379
2000,Gangwon State,female,45-49,47072
2000,Gangwon State,female,50-54,36921
2000,Gangwon State,female,55-59,42260
2000,Gangwon State,female,60-64,41258
2000,Gangwon State,female,65-69,31160
2000,Gangwon State,female,70-74,24702
2000,Gangwon State,female,75-79,17050
2000,Gangwon State,female,80-84,9947
2000,Gangwon State,female,85+,6213
2000,Jeonbuk State,male,0-4,67253
2000,Jeonbuk State,male,5-9,73891
2000,Jeonbuk State,male,10-14,66156
2000,Jeonbuk State,male,15-19,85283
2000,Jeonbuk State,male,20-24,95176
2000,Jeonbuk State,male,25-29,90998
2000,Jeonbuk State,male,30-34,81999
2000,Jeonbuk State,male,35-39,78723
2000,Jeonbuk State,male,40-44,76657
2000,Jeonbuk State,male,45-49,58750
2000,Jeonbuk State,male,50-54,53379
2000,Jeonbuk State,male,55-59,45373
2000,Jeonbuk State,male,60-64,42522
2000,Jeonbuk State,male,65-69,33831
2000,Jeonbuk State,male,70-74,22155
2000,Jeonbuk State,male,75-79,13102
2000,Jeonbuk State,male,80-84,6194
2000,Jeonbuk State,male,85+,2525
2000,Jeonbuk State,female,0-4,62295
2000,Jeonbuk State,female,5-9,67465
2000,Jeonbuk State,female,10-14,62231
2000,Jeonbuk State,female,15-19,81793
2000,Jeonbuk State,female,20-24,84356
2000,Jeonbuk State,female,25-29,78711
2000,Jeonbuk State,female,30-34,75231
2000,Jeonbuk State,female,35-39,73359
2000,Jeonbuk State,female,40-44,73978
2000,Jeonbuk State,female,45-49,58077
2000,Jeonbuk State,female,50-54,54049
2000,Jeonbuk State,female,55-59,52970
2000,Jeonbuk State,female,60-64,52773
2000,Jeonbuk State,female,65-69,47266
2000,Jeonbuk State,female,70-74,34531
2000,Jeonbuk State,female,75-79,22751
2000,Jeonbuk State,female,80-84,13861
2000,Jeonbuk State,female,85+,9591
2005,Seoul,male,0-4,239475
2005,Seoul,male,5-9,301036
2005,Seoul,male,10-14,351503
2005,Seoul,male,15-19,330090
2005,Seoul,male,20-24,409134
2005,Seoul,male,25-29,488168
2005,Seoul,male,30-34,529612
2005,Seoul,male,35-39,466830
2005,Seoul,male,40-44,425894
2005,Seoul,male,45-49,421891
2005,Seoul,male,50-54,325482
2005,Seoul,male,55-59,260658
2005,Seoul,male,60-64,211157
2005,Seoul,male,65-69,147337
2005,Seoul,male,70-74,81035
2005,Seoul,male,75-79,40786
2005,Seoul,male,80-84,21444
2005,Seoul,male,85+,10960
2005,Seoul,female,0-4,224082
2005,Seoul,female,5-9,277761
2005,Seoul,female,10-14,311912
2005,Seoul,female,15-19,300030
2005,Seoul,female,20-24,415837
2005,Seoul,female,25-29,491942
2005,Seoul,female,30-34,495182
2005,Seoul,female,35-39,447928
2005,Seoul,female,40-44,432211
2005,Seoul,female,45-49,448207
