year,province_code,province_name_th,province_name_en,sex,age_group,population,population_type,reference_date
2000,14,พระนครศรีอยุธยา,Phra Nakhon Si Ayutthaya,female,75-79,5910,registered,2000-12-31
2000,14,พระนครศรีอยุธยา,Phra Nakhon Si Ayutthaya,female,80-84,3724,registered,2000-12-31
2000,14,พระนครศรีอยุธยา,Phra Nakhon Si Ayutthaya,female,85+,3480,registered,2000-12-31
2000,14,พระนครศรีอยุธยา,Phra Nakhon Si Ayutthaya,female,not_age_classified,19416,registered,2000-12-31
2000,15,อ่างทอง,Ang Thong,male,0-4,9123,registered,2000-12-31
2000,15,อ่างทอง,Ang Thong,male,5-9,10095,registered,2000-12-31
2000,15,อ่างทอง,Ang Thong,male,10-14,9679,registered,2000-12-31
2000,15,อ่างทอง,Ang Thong,male,15-19,10817,registered,2000-12-31
2000,15,อ่างทอง,Ang Thong,male,20-24,10997,registered,2000-12-31
2000,15,อ่างทอง,Ang Thong,male,25-29,11574,registered,2000-12-31
2000,15,อ่างทอง,Ang Thong,male,30-34,12495,registered,2000-12-31
2000,15,อ่างทอง,Ang Thong,male,35-39,12984,registered,2000-12-31
2000,15,อ่างทอง,Ang Thong,male,40-44,10648,registered,2000-12-31
2000,15,อ่างทอง,Ang Thong,male,45-49,8763,registered,2000-12-31
2000,15,อ่างทอง,Ang Thong,male,50-54,6392,registered,2000-12-31
2000,15,อ่างทอง,Ang Thong,male,55-59,4910,registered,2000-12-31
2000,15,อ่างทอง,Ang Thong,male,60-64,5259,registered,2000-12-31
2000,15,อ่างทอง,Ang Thong,male,65-69,3967,registered,2000-12-31
2000,15,อ่างทอง,Ang Thong,male,70-74,2827,registered,2000-12-31
2000,15,อ่างทอง,Ang Thong,male,75-79,1781,registered,2000-12-31
2000,15,อ่างทอง,Ang Thong,male,80-84,888,registered,2000-12-31
2000,15,อ่างทอง,Ang Thong,male,85+,712,registered,2000-12-31
2000,15,อ่างทอง,Ang Thong,male,not_age_classified,6230,registered,2000-12-31
2000,15,อ่างทอง,Ang Thong,female,0-4,8755,registered,2000-12-31
2000,15,อ่างทอง,Ang Thong,female,5-9,9421,registered,2000-12-31
2000,15,อ่างทอง,Ang Thong,female,10-14,8822,registered,2000-12-31
2000,15,อ่างทอง,Ang Thong,female,15-19,10011,registered,2000-12-31
2000,15,อ่างทอง,Ang Thong,female,20-24,11323,registered,2000-12-31
2000,15,อ่างทอง,Ang Thong,female,25-29,11456,registered,2000-12-31
2000,15,อ่างทอง,Ang Thong,female,30-34,12666,registered,2000-12-31
2000,15,อ่างทอง,Ang Thong,female,35-39,13664,registered,2000-12-31
2000,15,อ่างทอง,Ang Thong,female,40-44,11908,registered,2000-12-31
2000,15,อ่างทอง,Ang Thong,female,45-49,10026,registered,2000-12-31
2000,15,อ่างทอง,Ang Thong,female,50-54,7513,registered,2000-12-31
2000,15,อ่างทอง,Ang Thong,female,55-59,6000,registered,2000-12-31
2000,15,อ่างทอง,Ang Thong,female,60-64,6480,registered,2000-12-31
2000,15,อ่างทอง,Ang Thong,female,65-69,5262,registered,2000-12-31
2000,15,อ่างทอง,Ang Thong,female,70-74,4099,registered,2000-12-31
2000,15,อ่างทอง,Ang Thong,female,75-79,2812,registered,2000-12-31
2000,15,อ่างทอง,Ang Thong,female,80-84,1776,registered,2000-12-31
2000,15,อ่างทอง,Ang Thong,female,85+,1561,registered,2000-12-31
2000,15,อ่างทอง,Ang Thong,female,not_age_classified,6028,registered,2000-12-31
2000,16,ลพบุรี,Lop Buri,male,0-4,25874,registered,2000-12-31
2000,16,ลพบุรี,Lop Buri,male,5-9,27018,registered,2000-12-31
2000,16,ลพบุรี,Lop Buri,male,10-14,26019,registered,2000-12-31
2000,16,ลพบุรี,Lop Buri,male,15-19,28463,registered,2000-12-31
2000,16,ลพบุรี,Lop Buri,male,20-24,40299,registered,2000-12-31
2000,16,ลพบุรี,Lop Buri,male,25-29,35091,registered,2000-12-31
2000,16,ลพบุรี,Lop Buri,male,30-34,35609,registered,2000-12-31
2000,16,ลพบุรี,Lop Buri,male,35-39,34494,registered,2000-12-31
2000,16,ลพบุรี,Lop Buri,male,40-44,29888,registered,2000-12-31
2000,16,ลพบุรี,Lop Buri,male,45-49,21612,registered,2000-12-31
2000,16,ลพบุรี,Lop Buri,male,50-54,16433,registered,2000-12-31
2000,16,ลพบุรี,Lop Buri,male,55-59,12487,registered,2000-12-31
2000,16,ลพบุรี,Lop Buri,male,60-64,11526,registered,2000-12-31
2000,16,ลพบุรี,Lop Buri,male,65-69,9579,registered,2000-12-31
2000,16,ลพบุรี,Lop Buri,male,70-74,6304,registered,2000-12-31
2000,16,ลพบุรี,Lop Buri,male,75-79,3637,registered,2000-12-31
2000,16,ลพบุรี,Lop Buri,male,80-84,1982,registered,2000-12-31
2000,16,ลพบุรี,Lop Buri,male,85+,1851,registered,2000-12-31
2000,16,ลพบุรี,Lop Buri,male,not_age_classified,18682,registered,2000-12-31
2000,16,ลพบุรี,Lop Buri,female,0-4,24178,registered,2000-12-31
2000,16,ลพบุรี,Lop Buri,female,5-9,25621,registered,2000-12-31
2000,16,ลพบุรี,Lop Buri,female,10-14,24945,registered,2000-12-31
2000,16,ลพบุรี,Lop Buri,female,15-19,27579,registered,2000-12-31
2000,16,ลพบุรี,Lop Buri,female,20-24,29970,registered,2000-12-31
2000,16,ลพบุรี,Lop Buri,female,25-29,32134,registered,2000-12-31
2000,16,ลพบุรี,Lop Buri,female,30-34,35049,registered,2000-12-31
2000,16,ลพบุรี,Lop Buri,female,35-39,35080,registered,2000-12-31
2000,16,ลพบุรี,Lop Buri,female,40-44,29271,registered,2000-12-31
2000,16,ลพบุรี,Lop Buri,female,45-49,23118,registered,2000-12-31
2000,16,ลพบุรี,Lop Buri,female,50-54,17740,registered,2000-12-31
2000,16,ลพบุรี,Lop Buri,female,55-59,13694,registered,2000-12-31
2000,16,ลพบุรี,Lop Buri,female,60-64,13253,registered,2000-12-31
2000,16,ลพบุรี,Lop Buri,female,65-69,10435,registered,2000-12-31
2000,16,ลพบุรี,Lop Buri,female,70-74,7511,registered,2000-12-31
2000,16,ลพบุรี,Lop Buri,female,75-79,4686,registered,2000-12-31
2000,16,ลพบุรี,Lop Buri,female,80-84,2863,registered,2000-12-31
2000,16,ลพบุรี,Lop Buri,female,85+,2764,registered,2000-12-31
2000,16,ลพบุรี,Lop Buri,female,not_age_classified,16442,registered,2000-12-31
2000,17,สิงห์บุรี,Sing Buri,male,0-4,6873,registered,2000-12-31
2000,17,สิงห์บุรี,Sing Buri,male,5-9,7543,registered,2000-12-31
2000,17,สิงห์บุรี,Sing Buri,male,10-14,7340,registered,2000-12-31
2000,17,สิงห์บุรี,Sing Buri,male,15-19,8309,registered,2000-12-31
2000,17,สิงห์บุรี,Sing Buri,male,20-24,8467,registered,2000-12-31
2000,17,สิงห์บุรี,Sing Buri,male,25-29,8363,registered,2000-12-31
2000,17,สิงห์บุรี,Sing Buri,male,30-34,9247,registered,2000-12-31
2000,17,สิงห์บุรี,Sing Buri,male,35-39,9933,registered,2000-12-31
2000,17,สิงห์บุรี,Sing Buri,male,40-44,8465,registered,2000-12-31
2000,17,สิงห์บุรี,Sing Buri,male,45-49,7052,registered,2000-12-31
2000,17,สิงห์บุรี,Sing Buri,male,50-54,5400,registered,2000-12-31
2000,17,สิงห์บุรี,Sing Buri,male,55-59,4120,registered,2000-12-31
2000,17,สิงห์บุรี,Sing Buri,male,60-64,4253,registered,2000-12-31
2000,17,สิงห์บุรี,Sing Buri,male,65-69,3312,registered,2000-12-31
2000,17,สิงห์บุรี,Sing Buri,male,70-74,2248,registered,2000-12-31
2000,17,สิงห์บุรี,Sing Buri,male,75-79,1394,registered,2000-12-31
2000,17,สิงห์บุรี,Sing Buri,male,80-84,721,registered,2000-12-31
2000,17,สิงห์บุรี,Sing Buri,male,85+,532,registered,2000-12-31
2000,17,สิงห์บุรี,Sing Buri,male,not_age_classified,4635,registered,2000-12-31
2000,17,สิงห์บุรี,Sing Buri,female,0-4,6409,registered,2000-12-31
2000,17,สิงห์บุรี,Sing Buri,female,5-9,6850,registered,2000-12-31
2000,17,สิงห์บุรี,Sing Buri,female,10-14,6908,registered,2000-12-31
2000,17,สิงห์บุรี,Sing Buri,female,15-19,7624,registered,2000-12-31
2000,17,สิงห์บุรี,Sing Buri,female,20-24,8318,registered,2000-12-31
2000,17,สิงห์บุรี,Sing Buri,female,25-29,8628,registered,2000-12-31
2000,17,สิงห์บุรี,Sing Buri,female,30-34,9818,registered,2000-12-31
2000,17,สิงห์บุรี,Sing Buri,female,35-39,10769,registered,2000-12-31
2000,17,สิงห์บุรี,Sing Buri,female,40-44,9849,registered,2000-12-31
2000,17,สิงห์บุรี,Sing Buri,female,45-49,8056,registered,2000-12-31
2000,17,สิงห์บุรี,Sing Buri,female,50-54,6314,registered,2000-12-31
2000,17,สิงห์บุรี,Sing Buri,female,55-59,4812,registered,2000-12-31
2000,17,สิงห์บุรี,Sing Buri,female,60-64,5001,registered,2000-12-31
2000,17,สิงห์บุรี,Sing Buri,female,65-69,4144,registered,2000-12-31
2000,17,สิงห์บุรี,Sing Buri,female,70-74,3160,registered,2000-12-31
2000,17,สิงห์บุรี,Sing Buri,female,75-79,2103,registered,2000-12-31
2000,17,สิงห์บุรี,Sing Buri,female,80-84,1246,registered,2000-12-31
2000,17,สิงห์บุรี,Sing Buri,female,85+,1015,registered,2000-12-31
2000,17,สิงห์บุรี,Sing Buri,female,not_age_classified,4727,registered,2000-12-31
2000,18,ชัยนาท,Chai Nat,male,0-4,10947,registered,2000-12-31
2000,18,ชัยนาท,Chai Nat,male,5-9,12214,registered,2000-12-31
2000,18,ชัยนาท,Chai Nat,male,10-14,11480,registered,2000-12-31
2000,18,ชัยนาท,Chai Nat,male,15-19,12731,registered,2000-12-31
2000,18,ชัยนาท,Chai Nat,male,20-24,13447,registered,2000-12-31
2000,18,ชัยนาท,Chai Nat,male,25-29,14735,registered,2000-12-31
2000,18,ชัยนาท,Chai Nat,male,30-34,15290,registered,2000-12-31
2000,18,ชัยนาท,Chai Nat,male,35-39,15768,registered,2000-12-31
2000,18,ชัยนาท,Chai Nat,male,40-44,12984,registered,2000-12-31
2000,18,ชัยนาท,Chai Nat,male,45-49,10987,registered,2000-12-31
2000,18,ชัยนาท,Chai Nat,male,50-54,8569,registered,2000-12-31
2000,18,ชัยนาท,Chai Nat,male,55-59,6694,registered,2000-12-31
2000,18,ชัยนาท,Chai Nat,male,60-64,6654,registered,2000-12-31
2000,18,ชัยนาท,Chai Nat,male,65-69,5291,registered,2000-12-31
2000,18,ชัยนาท,Chai Nat,male,70-74,3547,registered,2000-12-31
2000,18,ชัยนาท,Chai Nat,male,75-79,2173,registered,2000-12-31
2000,18,ชัยนาท,Chai Nat,male,80-84,1118,registered,2000-12-31
2000,18,ชัยนาท,Chai Nat,male,85+,798,registered,2000-12-31
2000,18,ชัยนาท,Chai Nat,male,not_age_classified,5132,registered,2000-12-31
2000,18,ชัยนาท,Chai Nat,female,0-4,10241,registered,2000-12-31
2000,18,ชัยนาท,Chai Nat,female,5-9,11564,registered,2000-12-31
2000,18,ชัยนาท,Chai Nat,female,10-14,10840,registered,2000-12-31
